id,importanceSampling
301001,-97.703772
301003,-66.659557
301004,-90.559506
301005,-84.932796
301011,-66.261338
302001,-95.392358
302002,-81.534143
302004,-51.964181
302005,-49.403973
302006,-51.358142
302007,-7.793854
302009,-60.343852
302010,-67.011788
302011,-7.699087
302013,-93.304348
303001,-49.630513
303003,-55.127436
304002,-58.716285
304003,-64.620563
304004,-57.079905
305001,-56.123447
305002,147.735138
305004,-108.117843
305005,-82.723910
306001,-84.127312
306003,-58.768585
306004,-95.471404
306005,-30.503218
306006,-58.224081
306010,-75.376442
306011,-73.284026
306012,-72.899616
306014,-56.122232
306016,-39.498087
306017,-86.737941
306019,-54.847796
306020,-59.010801
307001,-100.686500
307002,-83.444393
308001,-46.736423
308003,-103.796731
308004,-70.650261
309001,-99.411362
309002,-35.937375
310001,-25.361419
310003,-76.065724
310004,-24.414315
310006,-17.046069
311001,-38.037126
311003,-83.371402
311006,-96.154724
314002,-88.410673
315001,-102.375366
315003,-106.524137
315005,-97.333775
316001,-58.242071
316002,-41.046789
316004,-73.428960
316006,-65.955564
317001,-112.626267
317003,-84.711948
317004,-18.806799
317006,-61.354005
317007,-75.427447
319002,-28.099833
319003,-111.443423
319004,-95.766069
319005,-36.170514
319006,-62.087800
319007,-89.427793
319008,-5.313628
319009,-53.185293
320001,-31.556242
321002,-65.568777
321003,-5.848949
321004,-50.986020
321005,-56.211013
321006,25.502426
321007,-28.165740
321008,-53.073149
321012,-47.430216
321013,-24.864017
321014,-58.386595
321015,-48.169343
322001,-72.450387
322002,-74.944363
322004,-56.832146
322005,-96.796181
322006,-104.975572
322008,-71.363289
323001,-66.659612
323002,-111.763232
324002,-80.793111
324003,-71.531987
324004,-58.704592
324006,-85.014623
324007,-54.752450
325002,-84.586577
325003,-102.407258
325004,-72.719720
326001,-75.362645
327001,-62.394143
328002,-50.889999
328003,-77.785537
329002,-69.060145
329003,-99.187419
329004,-89.346400
329006,-58.486305
329007,-103.254022
329008,-63.498651
329009,-112.859446
331001,-68.743959
331003,-67.270193
331004,-87.420604
331007,-58.182173
334002,-40.129105
334003,-38.146633
334004,-73.286668
334005,-104.167922
334006,-60.563397
334007,-48.592410
334009,-50.955583
334011,-80.212286
335001,-74.982391
335002,-80.300451
335004,-52.712432
335005,-86.499972
335007,-100.726166
335008,-64.058672
336001,-69.786088
336002,-2.367623
337001,-73.001434
337003,-35.946280
337004,-74.778413
337005,-27.652949
337008,-78.265529
337009,-65.066362
337012,-55.248681
337013,-68.368867
338001,-85.569146
339002,-56.158665
339003,-95.328991
339004,-7.699188
340001,-83.412587
340003,311.231252
340004,-58.394693
341002,-40.045646
341003,48.215659
342001,-69.816515
342003,-10.674884
342007,159.564471
342008,-82.612225
342009,-29.549915
342011,-94.117019
343002,-105.848118
343003,-56.361405
343004,-58.750128
343005,-23.409553
343007,-66.887419
343008,-88.517362
343009,-71.859021
343010,-52.361871
343011,-66.854446
343012,-49.935243
344001,-58.920370
344003,-42.850069
344004,-0.457350
344005,-23.980640
344008,-75.308697
345002,-12.872762
346001,-70.306858
346003,-28.208104
349001,-107.794147
349002,-64.141519
349006,-1.665807
350001,-88.020612
350002,-43.781091
350004,-27.142649
351001,-60.264491
351003,-87.897485
351004,-70.231919
352002,-66.740845
352003,-6.089814
352004,-22.782059
352006,-98.685794
352007,-30.624048
353001,-48.302604
353002,-64.683299
353004,-81.912412
354002,-64.407156
354003,-12.226599
354004,-93.531355
354006,-60.050555
355002,-89.693907
356001,-48.169445
357002,-89.384063
357003,-50.940182
357004,-86.953765
357005,-74.636337
358002,-55.351657
358003,26.207792
358004,-60.726070
359001,-37.089185
360001,-69.347749
360003,-95.031947
361002,-53.423118
361003,-68.720515
361004,-26.152647
361005,-48.741081
361007,-86.335142
361008,-41.493532
361010,-52.272594
361012,-39.622411
361013,-52.487002
363001,-104.925934
363003,-73.802689
363004,-36.977175
364002,-78.270692
364003,-60.875163
364005,-85.131500
365002,-106.822985
365003,-65.587072
366002,-71.560947
366003,-77.853764
366004,-77.008901
366005,-76.575102
366006,-89.346776
368001,-32.868707
369001,-16.004909
369003,-39.392781
370001,-85.576967
371002,-54.029059
372001,-64.269029
372002,-76.441441
372004,-47.510970
373002,-2.750972
373003,-23.459797
374002,-69.659862
374003,-35.747197
375001,-24.578381
375003,-70.034337
376001,-69.362050
376003,-87.708917
376004,-41.599860
376007,-57.595787
377002,-77.065371
377003,-67.236703
377004,-78.268329
377006,-68.720875
380002,-41.483958
380003,-92.424565
381002,-55.259089
381003,-58.164928
381005,-99.176694
384002,-46.922850
384003,-19.158478
384004,-86.070215
384005,-0.211076
384006,-40.214450
388001,-64.720740
389001,-83.097533
389003,-28.621567
390001,-52.198885
390002,-83.859993
392001,-82.880851
393001,-34.160790
394001,-38.166672
394002,28.940782
395001,-44.802054
397001,29.289964
397002,-39.913512
401001,-100.644411
401003,-89.274340
403001,-95.708560
403003,-93.615974
403005,-93.578918
501001,-22.432149
501002,-32.179053
501005,-21.404347
501006,-5.914544
501008,-3.940392
501009,-6.534663
501010,-19.296029
501011,-13.518528
502001,-6.275017
502002,-28.613217
502006,-2.032014
502008,-16.085559
503001,-29.286248
503003,5.193048
503005,-19.575990
504002,-27.698131
504003,-26.346581
504004,-5.522781
504005,-28.179649
504009,-13.328874
505002,-20.852757
505003,-32.337394
505005,-12.985268
505006,-23.208095
505007,-17.872509
505008,-23.127268
505009,-17.257342
507001,-22.100762
507002,-21.784653
507004,-21.186707
507005,-24.332308
507006,-25.910384
507009,-10.618129
507010,-16.196672
507011,-20.418789
507012,-23.020743
507018,-21.763758
509001,9.522093
509003,-26.000335
509004,-22.887025
511002,-8.198835
511003,-17.115360
511004,-15.519683
511005,-16.609163
512001,-21.133086
512003,-25.195205
512004,-23.555770
513001,-5.642135
513003,-19.805489
513004,-14.338494
514001,-25.197045
515001,-22.482635
516002,-28.680751
516003,-25.230280
516006,-10.208970
516008,-13.462729
517001,-17.435781
517003,-6.783695
519001,-27.592395
519003,-22.475385
519004,-7.457816
519005,-23.830682
520001,-17.017902
521001,-19.768966
521002,2.932436
521004,-13.026144
521005,-24.358014
521006,-15.640238
521007,-16.251297
522001,-18.599009
522002,-25.163312
523001,-12.026388
524001,-21.633116
524002,-26.611143
525001,-9.796523
526001,-18.221780
526002,-28.992717
527001,-21.585726
527003,-22.596973
528001,-23.529668
528002,5.233469
